tower_number,unit_category,unit_number,floor_area_sqft,sale_price,listing_status,client_type,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,Birth_Year,Age,Cluster,Buyer_Segment
1,0,12,1160.36,300385.62,0,1,1,9,8,0,5.0,1,2,1968.0,58.0,0,Senior Home Buyers
1,0,15,782.25,208930.81,0,1,1,9,50,0,5.0,1,2,1943.0,83.0,0,Senior Home Buyers
1,0,21,756.21,218585.92,0,1,1,9,48,1,4.0,0,0,1949.0,77.0,0,Senior Home Buyers
1,0,30,743.09,246172.68,0,1,0,9,8,0,5.0,0,2,1986.0,40.0,3,Young Buyers
2,0,16,701.66,212265.67,0,1,1,9,11,0,2.0,0,2,1963.0,63.0,0,Senior Home Buyers
2,0,18,927.83,275394.25,0,1,1,9,8,0,3.0,1,2,1958.0,68.0,0,Senior Home Buyers
2,0,29,1109.25,310223.29,0,1,1,9,25,0,5.0,0,2,1975.0,51.0,3,Young Buyers
3,0,6,1132.06,356506.37,0,1,1,2,40,1,5.0,0,2,1947.0,79.0,0,Senior Home Buyers
3,0,26,670.89,212520.83,0,1,0,9,50,1,5.0,0,1,1981.0,45.0,3,Young Buyers
3,0,31,1596.35,407214.29,0,1,0,9,8,1,4.0,0,1,1974.0,52.0,1,High-Value Investors
3,0,35,781.07,269278.57,0,1,1,9,8,0,4.0,1,0,1959.0,67.0,0,Senior Home Buyers
5,0,33,798.28,240539.35,0,1,0,9,8,0,1.0,0,2,1971.0,55.0,0,Senior Home Buyers
5,0,46,798.28,230216.22,0,1,1,9,8,0,5.0,0,2,1951.0,75.0,0,Senior Home Buyers
1,0,1,748.06,222435.93,0,1,1,9,25,0,5.0,0,0,2000.0,26.0,3,Young Buyers
1,0,2,715.67,199315.51,0,1,0,9,27,0,4.0,1,0,1981.0,45.0,3,Young Buyers
1,0,3,788.73,285972.38,0,1,1,8,43,0,3.0,0,0,1994.0,32.0,3,Young Buyers
1,0,4,633.61,179987.43,0,1,1,0,41,0,3.0,0,0,1960.0,66.0,0,Senior Home Buyers
1,1,13,719.47,211336.04,0,1,1,2,5,0,3.0,1,0,1985.0,41.0,3,Young Buyers
1,0,14,1181.69,347613.48,0,1,0,9,8,1,4.0,0,2,1986.0,40.0,3,Young Buyers
1,0,20,1146.24,336600.53,0,1,1,9,8,1,1.0,1,0,1967.0,59.0,0,Senior Home Buyers
1,0,21,1957.16,487767.54,0,1,1,9,37,0,5.0,0,2,1985.0,41.0,1,High-Value Investors
1,1,22,740.83,232423.05,0,1,0,9,37,0,2.0,0,0,1967.0,59.0,0,Senior Home Buyers
1,0,23,1201.5,322459.21,0,1,0,9,8,1,3.0,0,2,1964.0,62.0,0,Senior Home Buyers
1,0,24,1146.11,328475.64,0,1,0,2,22,0,3.0,0,2,1961.0,65.0,0,Senior Home Buyers
1,1,24,1146.11,347062.19,0,1,1,5,16,1,3.0,1,2,1947.0,79.0,0,Senior Home Buyers
1,0,25,1154.92,372242.47,0,1,1,9,8,0,5.0,1,2,1969.0,57.0,0,Senior Home Buyers
1,0,25,1154.92,384462.57,0,0,1,9,25,1,5.0,0,2,1967.0,59.0,2,Corporate Buyers
1,0,29,757.2,237620.45,0,1,1,9,15,0,5.0,1,0,1981.0,45.0,3,Young Buyers
1,0,31,619.78,231461.08,0,1,0,9,14,0,2.0,1,0,1975.0,51.0,3,Young Buyers
1,0,35,1168.59,339117.71,0,1,0,9,11,0,3.0,1,2,1975.0,51.0,3,Young Buyers
2,0,2,788.72,251478.61,0,1,1,9,11,1,2.0,1,0,1993.0,33.0,3,Young Buyers
2,0,8,715.54,188979.3,0,1,0,9,8,0,3.0,1,2,1995.0,31.0,3,Young Buyers
2,0,8,715.54,212960.69,0,1,1,9,27,0,4.0,0,2,1947.0,79.0,0,Senior Home Buyers
2,0,8,715.54,184000.39,0,1,0,9,8,1,4.0,0,2,1955.0,71.0,0,Senior Home Buyers
2,0,9,584.19,194033.05,0,1,0,9,15,1,2.0,0,2,1944.0,82.0,0,Senior Home Buyers
2,0,9,584.19,184956.85,0,1,0,9,8,1,3.0,1,0,1963.0,63.0,0,Senior Home Buyers
2,1,10,788.79,227511.01,0,1,1,9,14,0,2.0,1,1,1963.0,63.0,0,Senior Home Buyers
2,0,11,1625.05,523288.27,0,1,1,9,8,0,4.0,0,2,1940.0,86.0,1,High-Value Investors
2,0,11,1625.05,507842.87,0,1,1,9,25,0,5.0,0,2,1975.0,51.0,1,High-Value Investors
2,0,17,1397.4,418864.27,0,1,1,9,8,1,5.0,1,2,1947.0,79.0,0,Senior Home Buyers
2,0,20,727.55,223964.08,0,1,0,5,16,0,2.0,1,0,1998.0,28.0,3,Young Buyers
2,0,25,943.48,313123.78,0,1,1,9,8,0,3.0,0,1,1958.0,68.0,0,Senior Home Buyers
2,0,26,1577.79,465488.76,0,1,0,9,8,0,2.0,0,2,1976.0,50.0,1,High-Value Investors
2,0,26,1577.79,483760.31,0,1,0,9,1,0,4.0,0,2,1966.0,60.0,1,High-Value Investors
2,0,26,1577.79,496217.67,0,0,0,9,8,0,4.0,1,0,1970.0,56.0,2,Corporate Buyers
2,0,28,650.67,201554.99,0,1,1,9,25,1,1.0,0,0,1963.0,63.0,0,Senior Home Buyers
